Num   y   M   d   h   min   s   ms      T_raw   T_C   Hum_raw   Hum_% 
132   2022   12   20   10   2   56   511      6187   22.17   1474   48.55


133   2022   12   20   10   2   56   912      6188   22.18   1474   48.55


134   2022   12   20   10   2   57   313      6188   22.18   1474   48.55


135   2022   12   20   10   2   57   714      6189   22.19   1475   48.59


136   2022   12   20   10   2   57   715      6188   22.18   1474   48.55


137   2022   12   20   10   2   58   116      6189   22.19   1474   48.55


138   2022   12   20   10   2   58   517      6189   22.19   1474   48.55


139   2022   12   20   10   2   58   918      6188   22.18   1474   48.55


140   2022   12   20   10   2   59   319      6189   22.19   1474   48.55


141   2022   12   20   10   2   59   721      6189   22.19   1474   48.55


142   2022   12   20   10   3   0   121      6188   22.18   1475   48.59


143   2022   12   20   10   3   0   522      6189   22.19   1475   48.59


144   2022   12   20   10   3   0   923      6188   22.18   1474   48.55


145   2022   12   20   10   3   1   324      6188   22.18   1474   48.55


146   2022   12   20   10   3   1   725      6190   22.2   1474   48.55


147   2022   12   20   10   3   2   126      6190   22.2   1475   48.59


148   2022   12   20   10   3   2   527      6190   22.2   1474   48.55


149   2022   12   20   10   3   2   927      6189   22.19   1475   48.59


150   2022   12   20   10   3   3   328      6189   22.19   1474   48.55


151   2022   12   20   10   3   3   329      6188   22.18   1475   48.59


152   2022   12   20   10   3   3   729      6190   22.2   1475   48.59


153   2022   12   20   10   3   4   130      6188   22.18   1475   48.59


154   2022   12   20   10   3   4   531      6189   22.19   1475   48.59


155   2022   12   20   10   3   4   932      6189   22.19   1475   48.59


156   2022   12   20   10   3   5   333      6188   22.18   1475   48.59


157   2022   12   20   10   3   5   735      6188   22.18   1475   48.59


158   2022   12   20   10   3   6   136      6188   22.18   1475   48.59


159   2022   12   20   10   3   6   537      6188   22.18   1475   48.59


160   2022   12   20   10   3   6   938      6188   22.18   1475   48.59


161   2022   12   20   10   3   7   339      6188   22.18   1476   48.62


162   2022   12   20   10   3   7   741      6188   22.18   1476   48.62


163   2022   12   20   10   3   8   142      6188   22.18   1476   48.62


